,He_x,He_y,He_z,Th_x,Th_y,Th_z,Abd_x,Abd_y,Abd_z,LF-ThC_x,LF-ThC_y,LF-ThC_z,LF-CTr_x,LF-CTr_y,LF-CTr_z,LF-FTi_x,LF-FTi_y,LF-FTi_z,LF-TiTa_x,LF-TiTa_y,LF-TiTa_z,LF-Claw_x,LF-Claw_y,LF-Claw_z,LM-ThC_x,LM-ThC_y,LM-ThC_z,LM-CTr_x,LM-CTr_y,LM-CTr_z,LM-FTi_x,LM-FTi_y,LM-FTi_z,LM-TiTa_x,LM-TiTa_y,LM-TiTa_z,LM-Claw_x,LM-Claw_y,LM-Claw_z,LH-ThC_x,LH-ThC_y,LH-ThC_z,LH-CTr_x,LH-CTr_y,LH-CTr_z,LH-FTi_x,LH-FTi_y,LH-FTi_z,LH-TiTa_x,LH-TiTa_y,LH-TiTa_z,LH-Claw_x,LH-Claw_y,LH-Claw_z,RH-ThC_x,RH-ThC_y,RH-ThC_z,RH-CTr_x,RH-CTr_y,RH-CTr_z,RH-FTi_x,RH-FTi_y,RH-FTi_z,RH-TiTa_x,RH-TiTa_y,RH-TiTa_z,RH-Claw_x,RH-Claw_y,RH-Claw_z,RM-ThC_x,RM-ThC_y,RM-ThC_z,RM-CTr_x,RM-CTr_y,RM-CTr_z,RM-FTi_x,RM-FTi_y,RM-FTi_z,RM-TiTa_x,RM-TiTa_y,RM-TiTa_z,RM-Claw_x,RM-Claw_y,RM-Claw_z,RF-ThC_x,RF-ThC_y,RF-ThC_z,RF-CTr_x,RF-CTr_y,RF-CTr_z,RF-FTi_x,RF-FTi_y,RF-FTi_z,RF-TiTa_x,RF-TiTa_y,RF-TiTa_z,RF-Claw_x,RF-Claw_y,RF-Claw_z,LA_x,LA_y,LA_z,RA_x,RA_y,RA_z,frame_idx,video_id
0,69.29201970941222,3.4319794294239614,158.3018978126833,0.0,0.0,200.0,-119.18281098062289,-8.775985477187362,94.04169217280926,49.16053666087305,16.009683209931268,145.99871871496293,34.46567559275809,22.38376781482384,99.41933421332095,82.38165483479406,61.11380052182875,110.62419794483998,95.79629853422034,66.08708118742157,61.32245026294558,129.02273896390784,94.93052601164032,18.712709053963522,-3.98248291015625,10.759156716953783,110.42151819374595,-7.698440792343831,20.515930656953458,100.05553406839084,-37.686401367187386,74.52192712046894,142.066556006336,-46.15725659890609,81.52500544461469,71.68269736831962,-77.36452910249841,132.12525867765595,23.07519982258549,-19.888916977969302,4.6553640278902435,106.68767783027391,-25.054978138750243,13.048384417187037,97.8083327017498,-62.32533779577659,50.70483687140762,154.59709556143343,-66.34754871671839,39.93677970929548,82.27579594236983,-118.34243437593591,74.56751941984345,22.696885234392028,-19.72695586031091,-8.26548839265655,106.14144927032942,-26.654798730936704,-16.797078897736867,92.60393272948806,-68.99038359468591,-65.74519420320343,112.12179774732738,-110.56844755952966,-70.02681041414093,56.998121242249,-168.2833523446859,-111.03358531648468,16.078022981948834,1.379672557657841,-11.749527699297175,106.24960802118972,5.281589061564091,-20.921585804765925,98.92164061245285,2.4010773784521007,-78.8384785495087,139.31094230660858,24.850588978716132,-72.88819820479529,71.25523726674976,55.13113740140784,-128.24214244539093,18.113758233020462,51.63403098679896,-8.40581758701677,136.05465646908635,29.073098883555758,-10.848209133732723,108.3749134846064,68.98336422139937,-41.36467496188783,135.09377840261357,69.08235184067462,-55.22833540515745,84.71674881947229,77.21306725768932,-63.247761503014715,32.129260369500685,130.39663282117658,31.201802908070192,169.5730715665988,133.5148560754874,11.015286502585411,170.30503776341254,29,0
1,70.382080078125,8.191070556640625,160.49656317343397,0.0,0.0,200.0,-115.57805596458638,-12.920130014466793,95.9714547442023,48.29416841336206,13.205322265625,143.57933234109095,32.7007623285906,18.202079009370834,102.23604303552185,79.6022683723487,60.56419182711198,113.44090676704087,90.5010986328125,65.5447998046875,67.52722068260542,119.5267333984375,94.85809326171875,21.221412276395426,-2.508611280757009,9.36870656961321,109.2341542189499,-8.66767335464624,20.42119383285376,101.94822609128477,-40.83367919921875,74.59796142578125,140.57118643177094,-49.57244873046875,87.39306640625,70.80333899329258,-83.22760009765625,128.74017333984375,24.708830450638885,-15.234666805675943,4.094260503967803,107.96435865362983,-25.506444223438507,12.448744396607651,100.31703592418171,-67.65259870588841,49.63138257009035,141.70551879541563,-75.75646346929216,42.75195912601254,83.55247676572577,-127.995849609375,74.216796875,26.1296052561309,-14.474368453990223,-9.428530184622446,105.86578709081653,-24.323118013076964,-16.96543126030133,93.39473130248302,-74.107421875,-66.02407836914062,115.42090748972316,-119.5989990234375,-70.53152465820312,54.032728280834135,-180.96752259505024,-117.67499820507214,18.074387528722127,4.039515249217743,-11.225540006496942,109.17596505620077,4.4847412109375,-24.537261962890625,99.58774879015277,4.16961669921875,-74.23757934570312,145.62767262758598,20.17178637333484,-71.36436720184633,73.99324023031807,40.3685953494512,-127.46543027271389,19.5017044870101,51.09117679595647,-6.1570394465167055,136.83257000031392,37.12445381422663,-33.03380603642927,102.39815027066959,65.81773900320104,-43.44539962781323,146.20290071878833,83.66661929640486,-40.250952725079514,105.42636651077976,128.36842220579547,-58.67828531375824,60.20144612436411,132.82474726864632,29.88786214058706,167.7696963922648,139.54500520586544,11.037426826254148,168.96372897977903,30,0
2,71.72004996854298,5.248166018290249,159.2579941639616,0.0,0.0,200.0,-120.8247733258163,-11.473380594215712,96.62507088719752,44.55570977013804,13.247202558117806,144.62455710756709,29.693276616505386,20.454962248290542,102.71265570206162,72.14882041696285,59.25874933721997,115.62335573338981,80.36654037302435,64.2570809051171,69.70966964895436,105.85436427284844,95.90123549598951,25.394003592521727,-2.035040024026557,9.611165915911386,109.14215478555329,-6.238165024026557,21.955892478411386,100.71900245801538,-30.597295883401557,67.08904067177076,155.5474076466886,-39.42828953574531,91.78963271278639,105.39667765601567,-68.30914891074531,141.36833754677076,69.27580785938613,-16.813257840044457,6.166453579951224,112.87431322321288,-25.031070907440494,13.418648077962132,103.08708613129821,-70.23637423701211,48.117310635393665,153.2608838254232,-84.08154335957988,43.72403303031393,82.00426174439207,-138.53088963340156,71.90413466591139,27.48301778077257,-14.956265135240528,-8.344108673085486,118.46726706026197,-24.327925962168706,-15.12491918142831,95.26131027868723,-85.62942031725765,-66.80147663570648,104.04124363911865,-126.03381932090156,-69.39963730674486,56.69961126584644,-188.52637303183906,-106.34128769736986,19.987157110837074,2.296014663473443,-11.13813217979174,114.10492603208309,2.749872085348443,-23.629861916119864,99.75188235039013,1.791565658198806,-72.46168600316872,144.0798352481661,14.091335555068781,-71.19504759770922,76.66689496682545,31.129863980612186,-127.55823507425242,21.91830589772303,47.265734038416895,-9.437960081906397,141.07485238569438,29.730608824472256,-29.277405700915608,104.88886091342692,76.1267289472853,-44.28706634577685,136.01563650546677,101.45110499550469,-31.375040138776114,108.10002124728703,168.67484248614028,-37.167250976800744,82.09078955956647,134.342139866794,32.29146300816916,166.5404727589954,138.01356667081313,9.940636961071732,167.34914788117976,31,0
3,73.94765267744378,8.516507760642298,153.79579635422243,0.0,0.0,200.0,-116.70678960035548,-11.340128632290202,102.60182250394027,49.90529609122382,14.92464521504047,138.27936320765832,28.657592565594996,21.607515774402998,106.26890481021411,69.41286263838128,58.46172870790792,122.65787938831386,74.23390756025628,66.3644081512673,73.81512000133395,94.88728890791253,99.1388222137673,29.13331978208322,-1.9888672784305754,12.976350405519156,112.22747981661638,-5.433806012114474,23.50606523042137,102.6528995063571,-21.479681191351233,48.963783570024646,166.83907428892383,-12.349893709274966,91.5399452606423,120.91853996200285,-20.01685976443673,150.37059697561608,109.02948672747351,-15.74405761920525,7.689776010900516,117.13599599067507,-28.41906129487029,15.690684590632145,102.68007650790128,-75.55036018781493,49.96659770715178,148.8244258320705,-91.82486929521247,45.79784931337667,84.53601599638014,-149.59971060380622,74.95904316103292,30.491594755890503,-13.702589696045038,-6.669459174170072,118.69319229134726,-25.75798138418986,-15.859997713076382,98.71407158485795,-75.40414697885501,-56.147926110841695,104.33693592478426,-135.6946412247537,-70.23540437029033,60.959446084085926,-202.69870962724372,-111.0523398956077,24.05512635512764,1.0779511069058572,-8.793701384121846,112.14250315496292,3.544061484430017,-26.196017802105757,101.25405279814333,2.2457681572061574,-68.42041966468832,142.34680131352889,12.196445344263225,-73.41939254747808,78.68612748404485,19.07566839917604,-123.29912421683662,25.316370600185337,56.41505107070907,-6.886349299241715,129.9951791431049,44.89980109470798,-13.98725383952592,95.18801985608047,98.2967308007336,-38.596813774065936,122.00594486923592,140.43678841963128,-24.6160605987327,99.85595827567761,195.00931767003988,-34.64421777482448,88.19750287186969,136.14903238658349,30.28083173235882,163.14017277360472,140.59292526275965,10.860920868699566,166.4331408843342,32,0
4,72.28717219459156,1.176793944682629,152.6414811849579,0.0,0.0,200.0,-113.394711142235,-8.666705485098817,101.50075501410132,46.68502365218478,11.21363763681336,137.28118330527002,25.932701382739765,18.464468829571103,104.96844967809233,66.43312184245133,58.95377596613935,126.92086900736501,62.459298135685,65.38132804137967,71.99704323398231,81.57190376878646,97.59343638907984,27.572417385784718,0.23454926907561457,10.855717707761357,111.8546876594416,-5.297613848342735,22.574662056834143,103.5536224582813,-27.18709287264744,48.455671355791935,168.50545418170614,-0.33740809128471483,89.59743717216992,119.93153927521828,5.5252982830305655,147.93613618691302,114.2189827041878,-18.980423575304258,3.954446562159603,120.45992412934712,-33.2372401340989,17.96493556691678,104.32368327346654,-81.67887193966703,47.7528794764973,144.31270957032396,-104.8652921969225,45.43180525708868,82.1229309768693,-162.5425382906725,74.00056136060431,30.578474102392363,-15.036606364510476,-10.428184412884093,121.81274306918772,-28.016802986478865,-20.035634638075464,97.945061100011,-89.80334471748267,-63.19320108608923,104.8376322451777,-143.21254857938277,-70.07732898097248,57.61688087887126,-206.99116722357633,-111.15297812917328,25.170300337316917,0.7422067739739759,-10.432743274354777,113.11036689301011,0.578348260033863,-24.52456504648802,100.26548077868131,2.7614778226087537,-66.58275162767694,133.5308534003218,2.9313386624525037,-79.31828629564569,80.90477148746686,7.245364541358754,-124.47081315111444,27.280845282560108,48.480532998390004,-12.196582194083192,127.77170592258312,48.819213988046045,-14.456474198539297,90.74107341503668,107.90935411592056,-33.61563689474036,99.95650209906069,143.75869517379522,-23.069385126426653,72.98899019437158,205.1727921657042,-36.74892516958033,50.76903699308468,135.00867212954677,28.151512469811905,163.32738592899472,139.69223765653817,7.646796389572273,163.2832204885948,33,0
5,71.50858719905591,3.459384315698287,151.49502783266382,0.0,0.0,200.0,-114.32701623213472,-10.451392033164154,101.49600256974149,51.10472280191823,15.303776932036783,132.25506712772386,24.28894324421003,20.605997007251858,106.09736612818665,61.80989819427077,59.38944654969407,128.35753708884135,54.599721833672106,65.033504901502,82.35850862553738,67.56886915301004,96.6900264238671,28.133758904495608,-0.5091992498369109,10.782198703936729,113.98101734694558,-5.584884173094338,22.9358980214418,105.40408750337423,-26.183740837498135,57.3323437946446,155.2974560611142,-0.7869469135811187,93.24717413028242,118.88542557499517,4.3831053310594825,148.8445179747959,113.58666596758121,-23.231007931353474,5.969994685585846,117.48275793224661,-35.468984005572224,17.829247615273346,102.44997564601024,-82.02490076088463,46.61481882634615,139.27935589807544,-110.33225250394707,45.922806695851534,78.11042093664582,-175.93346154463472,72.14458575003897,32.91138034945368,-19.522878048540974,-6.829901554648529,121.89341512359022,-31.113149044634724,-19.265234806601654,100.13112037859764,-73.30412446092271,-68.22959244618113,118.93448780137123,-122.81566010545384,-69.32973173706108,77.11990496691885,-192.59349478770957,-96.74678398471627,29.17437438500542,-0.4327789695228148,-10.399974178712739,113.09565049779303,-0.867698434203362,-22.697319736452243,101.79746321648236,1.3789163850527757,-68.0793827558204,131.9214195918546,-6.499928829790974,-73.11777386910165,82.65771090141322,-6.247182247759724,-126.3010624433204,27.439424156641053,53.45140564086296,-8.228585666480683,129.0915254718892,53.81772268454017,-14.41516888437144,92.67298797966077,105.13190710770903,-31.345251896445404,97.8113627312448,135.83270987154344,-19.20776858244227,65.21329258623234,187.67079932420438,-33.54406237164375,30.649423242698504,133.22584688581367,28.929989040892053,162.30204095941485,137.80695593583403,9.91039385550772,165.03615990254116,34,0
6,71.41132003893733,4.77192706367066,150.60083104896717,0.0,0.0,200.0,-116.60792305809343,-14.005777955175404,104.62973763091175,49.53470480228589,14.032349238850543,133.39690645142306,20.78575976454863,19.89761690329368,106.84128841018804,58.26152560556761,57.5952404197003,129.10145937084275,47.15578915203764,61.13479219947999,82.50555534499205,51.26276027436268,93.38073320379578,31.641754616489806,-0.6646929846323246,10.299750280142177,113.45927210624296,-4.439141091167812,21.668109449508165,102.8572742263452,-25.390984352886562,62.90758088505504,153.057000530382,-4.191111081825966,95.65952097516663,109.50400767536448,-1.068733546207227,144.22951230169213,105.21778208611374,-23.3860821985877,4.464248158864223,113.58589929766666,-35.87558153927603,14.80876408934995,101.67509690076685,-91.97663872277167,45.203342698494,132.66132375155198,-128.40648728257406,46.338946851851915,76.79031004655448,-189.9157035911678,70.99901154911754,34.24684172852881,-20.729442298714616,-13.585744328678402,119.84991503322658,-29.174795196239984,-26.996622242869762,97.45012947317355,-46.5644103876848,-74.58617633833512,142.603117251787,-93.16765977864748,-79.24372094975024,95.21473662719836,-158.1334102636099,-127.81005042747734,68.47244108563882,0.23488752949572245,-10.375383095894506,111.73496752269523,-0.3924491966365622,-23.855816331741835,100.1033612869245,0.8792525462101821,-70.20557904359248,127.18076393562433,-7.507433199371349,-70.52887291191632,73.5870179976688,-22.68884740818794,-125.99297226594513,26.75470043205121,47.21742616896131,-11.69287577044571,127.82536754719195,37.837910293115556,-20.686310651194958,93.17945114953977,97.30521998674772,-34.054105341772356,105.91477344930786,124.13328376897107,-25.539862013322704,67.49237685068749,183.34802262175867,-38.36053518927338,29.29896378057765,135.01868519833647,30.25394103399742,161.2553365537761,140.23045741098588,10.8150901851929,161.49091771338863,35,0
7,70.87928220460208,3.2133881542709446,151.75340175460843,0.0,0.0,200.0,-114.98109361348679,-14.933788808035501,106.80428299816214,41.72358152100833,14.683512853000366,131.59766427781824,19.34313850235958,20.834719750262593,104.62434937594031,59.38917062772987,57.59925311315885,133.56219910617128,45.88571800493173,63.092419290011094,85.73584399292929,43.23984939362401,97.26459899703929,34.280504167353286,-2.892894552993994,10.441344151859369,114.09207763409174,-3.9579370336791726,22.673930333469116,102.32095378000054,-24.783559592272923,60.350871251437866,159.47628305423444,-10.749303907441117,100.2791116852909,107.89524903006517,-12.912476630095284,145.32499153135223,94.07707423330115,-22.99886330296306,4.505823400400914,111.76310648647228,-32.94402101805417,10.92878262839099,101.95901196122597,-95.15231674847325,42.76463971996259,128.83698884007487,-144.40049737949494,46.718065690776484,76.4589362391489,-205.95909670164792,72.55853710034626,36.22255869587218,-20.608280783802797,-10.984148524200123,117.99905515004968,-24.434987814929173,-22.344929529812134,98.51714874206232,-30.930072138328796,-74.97758437736388,152.44134814034408,-57.87517336180417,-68.43416292824963,91.30757865923124,-110.71254453182132,-125.99228980276928,43.252688785444434,-1.028710957760154,-10.502804041592753,113.84567520044993,-1.3790205291237498,-25.993695643031515,100.50820288472562,-2.267058278326658,-71.94337979060833,128.5736202845494,-12.98779895542907,-72.86314669823673,78.15549224903634,-37.41467030684305,-124.94468002805831,27.74046712264044,47.39675566492474,-9.728893623465979,125.06674878741114,38.13855954835208,-14.022236658718384,94.18258524400562,94.23920570652172,-34.868844793287394,104.66085583122572,110.63491684555333,-24.9984292506507,69.24786151600256,160.7818907406819,-34.23131698419388,30.45984585756696,131.94111761703516,32.90858674008757,156.0497593130608,141.23432656689135,13.954604676130032,158.98308247722412,36,0
8,72.63066095113822,3.194155855959707,153.24223731290925,0.0,0.0,200.0,-111.5709210083545,-17.83973323678765,107.95610723009278,48.17828568939888,12.351402672338338,135.77831626687822,30.249607624092846,13.586894108997058,100.5785737926962,44.60104117182527,43.45387056266293,147.3055067605809,62.99946559731302,56.882075775847056,111.25694454690594,92.43568385903177,99.07863949655018,76.75660667958186,-0.44139283240679106,8.597138653959064,117.69616853503993,-3.0755466097182307,19.65066098092518,102.0116538392561,-23.77293430503073,57.24422787545643,161.87783902595288,-12.571775531104663,94.31332994804609,102.51734581033392,-19.416264610933126,145.89184192295227,93.90402370440546,-19.79155002768698,2.8856463324876813,111.11688753113702,-28.61582981284323,8.168696869597056,102.73229828520948,-93.47000314707043,36.548410277226935,126.20346224867507,-153.8387307185767,40.640867908754615,74.16341233725714,-206.00128178627347,63.07829460622605,32.57288375771745,-16.14384494956198,-12.664005767121694,110.4942707011669,-19.67469838085924,-21.62283755423107,98.30795288700187,-21.520848956462032,-71.82329100973845,146.04217755655122,-40.824242851175995,-58.53464175344982,87.21641515037845,-81.92601047690573,-103.63376284719982,28.03635388382031,-0.0854370940417084,-10.57299334143886,111.89325824775449,1.035160455058417,-22.166847692106444,100.10372184546736,-1.2390582971859203,-77.99244412059431,122.71662186888102,-15.091929363731992,-77.53381943477939,76.00613841543418,-44.26404102372703,-131.94621014954794,26.06227719414494,52.342665115152386,-12.127706285249985,125.72081697084752,38.35365260903177,-12.916721831574819,95.75291201714856,86.80906858001231,-34.50738173057164,115.21051678349352,108.72407497231302,-26.912788584366922,71.00144000708679,152.39526323810264,-41.22467878815144,30.516527559269775,138.21076424455077,32.62229352677946,154.1613064535582,143.7321623675316,13.897146106134983,155.05491915730113,37,0
9,72.30241618920445,5.830585488420752,151.93952399322936,0.0,0.0,200.0,-112.60625690775544,-16.310604276925233,104.44069927283263,50.063498620766154,10.36762033919291,135.11933997247536,31.204935288870274,15.80949059176703,96.82044406378867,35.6895223950163,47.86531061442548,148.70615955345394,78.70502970823884,58.17300721532189,120.07743399730856,127.4017514116349,91.43029130532375,114.9356534531739,-1.5800333460697402,10.323310059283926,112.41436358361128,-4.865887748521345,20.88903153969875,101.39002586051117,-25.729962455552595,58.856286178370624,156.94670219085248,-19.79221445278654,101.17450550190551,107.69845633590654,-26.253120039017176,146.7198203076652,89.6350802466705,-21.246686088365095,0.7878962857924989,116.46954860032082,-30.137738334458845,9.293725143214374,102.54986465809401,-97.73075650470582,36.29982895490025,125.02685474173632,-149.87390457073752,40.35677722273698,70.57050406970438,-218.56459700052392,65.76119732756183,30.44178479816901,-18.641110516426124,-11.215435219957953,114.89022717321723,-23.170483716618037,-24.372712596482415,95.15335488488745,-27.060905127223236,-70.79961799046248,144.71358180164486,-49.984112846177595,-57.51886640952,84.73239092690062,-87.73600493602135,-102.51636396811375,24.78473121080981,-0.2914002920301755,-9.4044781972662,109.18749594825772,-1.3651011735911425,-25.124277870001833,100.2804011509271,-0.7967349164900952,-73.7531193392075,125.39141723196985,-28.743634330552595,-85.38996015952,72.43564363445046,-46.133954154771345,-131.03967939780125,24.941921432929007,53.99590437905272,-10.224657061254106,126.97589015971573,36.573504341322405,-16.513249319777913,95.62925150034494,85.27246343909155,-33.50149465739753,114.39748941385369,106.83294590666742,-27.408985255663538,69.03946788272049,149.5759783928147,-43.161417446759515,26.894410141396293,135.2732214980872,35.69627461401251,157.46014062061892,140.4120926600424,16.011330865595426,157.45893710089604,38,0
